waveform	Ch0	
t0	2018/05/01  15:17:27.896645	
delta t	2.000000E-6	

time[0]	Ch0
2018/05/01  15:17:27.896645	-1.590543E-1
2018/05/01  15:17:27.896647	-1.591187E-1
2018/05/01  15:17:27.896649	-1.593119E-1
2018/05/01  15:17:27.896651	-1.591831E-1
2018/05/01  15:17:27.896653	-1.591187E-1
2018/05/01  15:17:27.896655	-1.592153E-1
2018/05/01  15:17:27.896657	-1.593119E-1
2018/05/01  15:17:27.896659	-1.590543E-1
2018/05/01  15:17:27.896661	-1.590543E-1
2018/05/01  15:17:27.896663	-1.591509E-1
2018/05/01  15:17:27.896665	-1.592475E-1
2018/05/01  15:17:27.896667	-1.591831E-1
2018/05/01  15:17:27.896669	-1.590865E-1
2018/05/01  15:17:27.896671	-1.591187E-1
2018/05/01  15:17:27.896673	-1.591509E-1
2018/05/01  15:17:27.896675	-1.591187E-1
2018/05/01  15:17:27.896677	-1.589577E-1
2018/05/01  15:17:27.896679	-1.592153E-1
2018/05/01  15:17:27.896681	-1.591187E-1
2018/05/01  15:17:27.896683	-1.591187E-1
2018/05/01  15:17:27.896685	-1.590221E-1
2018/05/01  15:17:27.896687	-1.591187E-1
2018/05/01  15:17:27.896689	-1.592475E-1
2018/05/01  15:17:27.896691	-1.591831E-1
2018/05/01  15:17:27.896693	-1.589899E-1
2018/05/01  15:17:27.896695	-1.590865E-1
2018/05/01  15:17:27.896697	-1.592475E-1
2018/05/01  15:17:27.896699	-1.591509E-1
2018/05/01  15:17:27.896701	-1.590221E-1
2018/05/01  15:17:27.896703	-1.591187E-1
2018/05/01  15:17:27.896705	-1.593441E-1
2018/05/01  15:17:27.896707	-1.590865E-1
2018/05/01  15:17:27.896709	-1.589899E-1
2018/05/01  15:17:27.896711	-1.591831E-1
2018/05/01  15:17:27.896713	-1.592475E-1
2018/05/01  15:17:27.896715	-1.591831E-1
2018/05/01  15:17:27.896717	-1.590221E-1
2018/05/01  15:17:27.896719	-1.591831E-1
2018/05/01  15:17:27.896721	-1.591831E-1
2018/05/01  15:17:27.896723	-1.591187E-1
2018/05/01  15:17:27.896725	-1.590221E-1
2018/05/01  15:17:27.896727	-1.591187E-1
2018/05/01  15:17:27.896729	-1.592153E-1
2018/05/01  15:17:27.896731	-1.590543E-1
2018/05/01  15:17:27.896733	-1.590221E-1
2018/05/01  15:17:27.896735	-1.592797E-1
2018/05/01  15:17:27.896737	-1.591831E-1
2018/05/01  15:17:27.896739	-1.591187E-1
2018/05/01  15:17:27.896741	-1.590221E-1
2018/05/01  15:17:27.896743	-1.590865E-1
2018/05/01  15:17:27.896745	-1.593119E-1
2018/05/01  15:17:27.896747	-1.591831E-1
2018/05/01  15:17:27.896749	-1.590221E-1
2018/05/01  15:17:27.896751	-1.590865E-1
2018/05/01  15:17:27.896753	-1.591831E-1
2018/05/01  15:17:27.896755	-1.591187E-1
2018/05/01  15:17:27.896757	-1.590221E-1
2018/05/01  15:17:27.896759	-1.590543E-1
2018/05/01  15:17:27.896761	-1.592153E-1
2018/05/01  15:17:27.896763	-1.590865E-1
2018/05/01  15:17:27.896765	-1.589577E-1
2018/05/01  15:17:27.896767	-1.591187E-1
2018/05/01  15:17:27.896769	-1.592475E-1
2018/05/01  15:17:27.896771	-1.591187E-1
2018/05/01  15:17:27.896773	-1.589255E-1
2018/05/01  15:17:27.896775	-1.591187E-1
2018/05/01  15:17:27.896777	-1.592153E-1
2018/05/01  15:17:27.896779	-1.591187E-1
2018/05/01  15:17:27.896781	-1.590543E-1
2018/05/01  15:17:27.896783	-1.592153E-1
2018/05/01  15:17:27.896785	-1.592153E-1
2018/05/01  15:17:27.896787	-1.591187E-1
2018/05/01  15:17:27.896789	-1.591187E-1
2018/05/01  15:17:27.896791	-1.591187E-1
2018/05/01  15:17:27.896793	-1.592153E-1
2018/05/01  15:17:27.896795	-1.590543E-1
2018/05/01  15:17:27.896797	-1.589899E-1
2018/05/01  15:17:27.896799	-1.592475E-1
2018/05/01  15:17:27.896801	-1.592475E-1
2018/05/01  15:17:27.896803	-1.591831E-1
2018/05/01  15:17:27.896805	-1.590221E-1
2018/05/01  15:17:27.896807	-1.591187E-1
2018/05/01  15:17:27.896809	-1.592153E-1
2018/05/01  15:17:27.896811	-1.591187E-1
2018/05/01  15:17:27.896813	-1.591187E-1
2018/05/01  15:17:27.896815	-1.591187E-1
2018/05/01  15:17:27.896817	-1.592475E-1
2018/05/01  15:17:27.896819	-1.591509E-1
2018/05/01  15:17:27.896821	-1.590543E-1
2018/05/01  15:17:27.896823	-1.591509E-1
2018/05/01  15:17:27.896825	-1.592475E-1
2018/05/01  15:17:27.896827	-1.591509E-1
2018/05/01  15:17:27.896829	-1.590221E-1
2018/05/01  15:17:27.896831	-1.591831E-1
2018/05/01  15:17:27.896833	-1.592475E-1
2018/05/01  15:17:27.896835	-1.591187E-1
2018/05/01  15:17:27.896837	-1.589577E-1
2018/05/01  15:17:27.896839	-1.590543E-1
2018/05/01  15:17:27.896841	-1.592475E-1
2018/05/01  15:17:27.896843	-1.591509E-1
2018/05/01  15:17:27.896845	-1.590543E-1
2018/05/01  15:17:27.896847	-1.590865E-1
2018/05/01  15:17:27.896849	-1.591831E-1
2018/05/01  15:17:27.896851	-1.591187E-1
2018/05/01  15:17:27.896853	-1.590221E-1
2018/05/01  15:17:27.896855	-1.591187E-1
2018/05/01  15:17:27.896857	-1.592475E-1
2018/05/01  15:17:27.896859	-1.592153E-1
2018/05/01  15:17:27.896861	-1.591509E-1
2018/05/01  15:17:27.896863	-1.591509E-1
2018/05/01  15:17:27.896865	-1.593119E-1
2018/05/01  15:17:27.896867	-1.592797E-1
2018/05/01  15:17:27.896869	-1.590543E-1
2018/05/01  15:17:27.896871	-1.591509E-1
2018/05/01  15:17:27.896873	-1.591831E-1
2018/05/01  15:17:27.896875	-1.591509E-1
2018/05/01  15:17:27.896877	-1.590865E-1
2018/05/01  15:17:27.896879	-1.591187E-1
2018/05/01  15:17:27.896881	-1.592153E-1
2018/05/01  15:17:27.896883	-1.592475E-1
2018/05/01  15:17:27.896885	-1.590221E-1
2018/05/01  15:17:27.896887	-1.590865E-1
2018/05/01  15:17:27.896889	-1.592153E-1
2018/05/01  15:17:27.896891	-1.591187E-1
2018/05/01  15:17:27.896893	-1.589899E-1
2018/05/01  15:17:27.896895	-1.591509E-1
2018/05/01  15:17:27.896897	-1.592475E-1
2018/05/01  15:17:27.896899	-1.590543E-1
2018/05/01  15:17:27.896901	-1.591187E-1
2018/05/01  15:17:27.896903	-1.591187E-1
2018/05/01  15:17:27.896905	-1.592475E-1
2018/05/01  15:17:27.896907	-1.591187E-1
2018/05/01  15:17:27.896909	-1.590221E-1
2018/05/01  15:17:27.896911	-1.591187E-1
2018/05/01  15:17:27.896913	-1.592153E-1
2018/05/01  15:17:27.896915	-1.591187E-1
2018/05/01  15:17:27.896917	-1.591187E-1
2018/05/01  15:17:27.896919	-1.590865E-1
2018/05/01  15:17:27.896921	-1.592153E-1
2018/05/01  15:17:27.896923	-1.591509E-1
2018/05/01  15:17:27.896925	-1.590543E-1
2018/05/01  15:17:27.896927	-1.592153E-1
2018/05/01  15:17:27.896929	-1.591831E-1
2018/05/01  15:17:27.896931	-1.591187E-1
2018/05/01  15:17:27.896933	-1.590543E-1
2018/05/01  15:17:27.896935	-1.591187E-1
2018/05/01  15:17:27.896937	-1.593441E-1
2018/05/01  15:17:27.896939	-1.591509E-1
2018/05/01  15:17:27.896941	-1.589899E-1
2018/05/01  15:17:27.896943	-1.591831E-1
2018/05/01  15:17:27.896945	-1.592153E-1
2018/05/01  15:17:27.896947	-1.591509E-1
2018/05/01  15:17:27.896949	-1.590543E-1
2018/05/01  15:17:27.896951	-1.591187E-1
2018/05/01  15:17:27.896953	-1.593441E-1
2018/05/01  15:17:27.896955	-1.591187E-1
2018/05/01  15:17:27.896957	-1.590221E-1
2018/05/01  15:17:27.896959	-1.591187E-1
2018/05/01  15:17:27.896961	-1.592797E-1
2018/05/01  15:17:27.896963	-1.591187E-1
2018/05/01  15:17:27.896965	-1.590221E-1
2018/05/01  15:17:27.896967	-1.591509E-1
2018/05/01  15:17:27.896969	-1.592153E-1
2018/05/01  15:17:27.896971	-1.591187E-1
2018/05/01  15:17:27.896973	-1.590221E-1
2018/05/01  15:17:27.896975	-1.591831E-1
2018/05/01  15:17:27.896977	-1.591509E-1
2018/05/01  15:17:27.896979	-1.591509E-1
2018/05/01  15:17:27.896981	-1.589899E-1
2018/05/01  15:17:27.896983	-1.592153E-1
2018/05/01  15:17:27.896985	-1.592153E-1
2018/05/01  15:17:27.896987	-1.591509E-1
2018/05/01  15:17:27.896989	-1.590865E-1
2018/05/01  15:17:27.896991	-1.590865E-1
2018/05/01  15:17:27.896993	-1.592475E-1
2018/05/01  15:17:27.896995	-1.591831E-1
2018/05/01  15:17:27.896997	-1.590865E-1
2018/05/01  15:17:27.896999	-1.591509E-1
2018/05/01  15:17:27.897001	-1.592475E-1
2018/05/01  15:17:27.897003	-1.591509E-1
2018/05/01  15:17:27.897005	-1.590865E-1
2018/05/01  15:17:27.897007	-1.592475E-1
2018/05/01  15:17:27.897009	-1.592475E-1
2018/05/01  15:17:27.897011	-1.591509E-1
2018/05/01  15:17:27.897013	-1.590543E-1
2018/05/01  15:17:27.897015	-1.591509E-1
2018/05/01  15:17:27.897017	-1.592797E-1
2018/05/01  15:17:27.897019	-1.590865E-1
2018/05/01  15:17:27.897021	-1.590221E-1
2018/05/01  15:17:27.897023	-1.592797E-1
2018/05/01  15:17:27.897025	-1.591509E-1
2018/05/01  15:17:27.897027	-1.592153E-1
2018/05/01  15:17:27.897029	-1.590221E-1
2018/05/01  15:17:27.897031	-1.592153E-1
2018/05/01  15:17:27.897033	-1.592797E-1
2018/05/01  15:17:27.897035	-1.592475E-1
2018/05/01  15:17:27.897037	-1.590865E-1
2018/05/01  15:17:27.897039	-1.590865E-1
