waveform	Ch0	
t0	2018/05/01  14:55:50.795633	
delta t	8.000000E-7	

time[0]	Ch0
2018/05/01  14:55:50.795720	-2.122050E-1
2018/05/01  14:55:50.795721	-2.123338E-1
2018/05/01  14:55:50.795722	-2.122050E-1
2018/05/01  14:55:50.795722	-2.121728E-1
2018/05/01  14:55:50.795723	-2.122855E-1
2018/05/01  14:55:50.795724	-2.122694E-1
2018/05/01  14:55:50.795725	-2.122533E-1
2018/05/01  14:55:50.795726	-2.122855E-1
2018/05/01  14:55:50.795726	-2.122694E-1
2018/05/01  14:55:50.795727	-2.122372E-1
2018/05/01  14:55:50.795728	-2.122211E-1
2018/05/01  14:55:50.795729	-2.122372E-1
2018/05/01  14:55:50.795730	-2.122050E-1
2018/05/01  14:55:50.795730	-2.122533E-1
2018/05/01  14:55:50.795731	-2.123016E-1
2018/05/01  14:55:50.795732	-2.122694E-1
2018/05/01  14:55:50.795733	-2.122211E-1
2018/05/01  14:55:50.795734	-2.121728E-1
2018/05/01  14:55:50.795734	-2.122372E-1
2018/05/01  14:55:50.795735	-2.122211E-1
2018/05/01  14:55:50.795736	-2.122855E-1
2018/05/01  14:55:50.795737	-2.122050E-1
2018/05/01  14:55:50.795738	-2.122372E-1
2018/05/01  14:55:50.795738	-2.122050E-1
2018/05/01  14:55:50.795739	-2.122533E-1
2018/05/01  14:55:50.795740	-2.121567E-1
2018/05/01  14:55:50.795741	-2.122211E-1
2018/05/01  14:55:50.795742	-2.122372E-1
2018/05/01  14:55:50.795742	-2.122050E-1
2018/05/01  14:55:50.795743	-2.121889E-1
2018/05/01  14:55:50.795744	-2.122211E-1
2018/05/01  14:55:50.795745	-2.121728E-1
2018/05/01  14:55:50.795746	-2.122694E-1
2018/05/01  14:55:50.795746	-2.122694E-1
2018/05/01  14:55:50.795747	-2.122211E-1
2018/05/01  14:55:50.795748	-2.121567E-1
2018/05/01  14:55:50.795749	-2.122372E-1
2018/05/01  14:55:50.795750	-2.122855E-1
