DC+[mm],V[kV],DC-[mm],V[kV],AC[mm],V[kV]
2,6.39,2,,2,
2,6.54,2,,2,
2,6.61,2,,2,
2,6.77,2,,2,
2,6.97,2,,2,
5,14.51,5,,5,
5,14.98,5,,5,
5,16.26,5,,5,
5,16.01,5,,5,
5,15.94,5,,5,
10,30.76,10,,10,
10,31.9,10,,10,
10,32.03,10,,10,
10,30.73,10,,10,
10,32.03,10,,10,
15,45.11,15,,15,
15,45.08,15,,15,
15,44.81,15,,15,
15,44.97,15,,15,
15,44.83,15,,15,
20,,20,,20,
20,,20,,20,
20,,20,,20,
20,,20,,20,
20,,20,,20,
